event_id,event_name,category,city,start_date,start_time,end_time,longitude,latitude,min_ticket_price,max_ticket_price
92,"Time Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
93,"P3O Practitioner 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,645,895
94,"Report Writing 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/11/2022,9:00,17:00,-86.1007742,39.9249883,545,795
95,"Interview Skills 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
96,"Managing a Virtual Team 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
97,"Knowledge Management 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
98,"SDN Overview 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,645,895
99,"Business Presentations 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,545,795
100,"Practical Sales Skills 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1007742,39.9249883,545,795
101,"Business Ethics 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/18/2022,9:00,17:00,-86.1007742,39.9249883,545,795
102,"P3O Practitioner 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/20/2022,9:00,17:00,-86.1007742,39.9249883,645,895
103,#DiversityHire Virtual Job Fair / Career Expo #Diversity Event#Indianapolis,Career,Indianapolis ,5/20/2022,11:00,14:00,-86.158068,39.768403,0,0
104,"PgMP Certification Training in Indianapolis, in",Business & Professional,"Indianapolis, IN",5/20/2022,9:00,17:00,-86.1586119,39.7696748,1099,1599
105,"PgMP Certification 3 Days Training in Indianapolis, in",Business & Professional,"Indianapolis, IN",5/20/2022,9:00,17:00,-86.159345,39.7702698,1299,1899
106,"PMI-ACP Certification Training in Indianapolis, in",Educators,"Indianapolis, IN",6/3/2022,9:00,17:00,-86.159345,39.7702698,1199,1899
107,"PgMP Certification Training in Indianapolis, in",Educators,"Indianapolis, IN",5/25/2022,9:00,17:00,-86.159345,39.7702698,1499,1999
108,"Change Management certification Training In Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1504735,39.9283129,549,699
109,"PgMp Certification Training In Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1504735,39.9283129,1549,1999
110,"PMI-ACP Certification Training In Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1504735,39.9283129,1099,1499
111,"Risk Management Professional (RMP) Training In Indianapolis, IN",Career,Indianapolis,5/27/2022,9:00,17:00,-86.1504735,39.9283129,999,1599
112,"Conflict Management Certification Training in Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1016699,39.9173071,559,749
113,"Data Analytics certification Training In Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1504735,39.9283129,1649,2249
114,"Become a Home Base Travel Business Owner(Indianapolis, IN)",Travel,Indianapolis,5/25/2022,18:30,20:00,-86.2314954,39.922868,0,0
115,"ITIL Foundation Certification Training in Indianapolis, IN",Business & Professional,"Indianapolis, IN",5/27/2022,9:00,17:00,-86.1586119,39.7696748,999,1699
116,"CSM Certification Training In Indianapolis, IN",Career,Indianapolis,5/25/2022,9:00,17:00,-86.1087848,39.9169508,999,999
117,"CSM Certification Training in Indianapolis, IN",Business & Professional,"Indianapolis, IN",5/16/2022,9:00,17:00,-86.1586119,39.7696748,999,1599
118,"Certified Scrum Product Owner (CSPO) Training In Indianapolis, IN",Career,Indianapolis,5/26/2022,9:00,17:00,-86.1504735,39.9283129,729,1229
119,"ITIL v4 Foundation certification Training In Indianapolis, IN",Career,Indianapolis,5/26/2022,9:00,17:00,-86.1504735,39.9283129,979,1449
120,#ProjectCovid Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,5/26/2022,11:00,14:00,-86.158068,39.768403,0,0
121,"Emotional Intelligence 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,5/26/2022,9:00,17:00,-86.1009742,39.9249343,545,795
122,#Data #FirstFridayFair Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,5/26/2022,11:00,14:00,-86.1573709,39.7713425,0,0
124,"Conflict Management 1 Day Certification Training in Indianapolis, in",Business & Professional,"Indianapolis, IN",6/3/2022,9:00,17:00,-86.159345,39.7702698,699,1099
126,"Business Case Writing Certification Classroom  Training in Indianapolis, IN",Career,"Indianapolis, IN",5/30/2022,9:00,17:00,-86.1087848,39.9169508,1099,1099
127,"Business Case Writing Training in Indianapolis, in",Educators,"Indianapolis, IN",6/3/2022,9:00,17:00,-86.158068,39.768403,599,999
128,"Business Case Writing 1 Day Training in Indianapolis, in",Business & Professional,"Indianapolis, IN",5/27/2022,9:00,17:00,-86.159345,39.7702698,599,899
129,"Conflict Management Certification Training in Indianapolis, in",Educators,"Indianapolis, IN",5/27/2022,9:00,17:00,-86.160095,39.769656,599,1199
130,"Agile & Scrum certification Training In Indianapolis, IN",Career,Indianapolis,5/27/2022,9:00,17:00,-86.1504735,39.9283129,559,749
131,#Qampus Virtual Job Fair/Career Expo #College#University Event#Indianapolis,Career,Indianapolis,5/27/2022,11:00,14:00,-86.1573709,39.7713425,0,0
132,Monthly Botox & Dermal Filler Training Certification - Indianapolis,Medical,Indianapolis,5/27/2022,12:00,17:00,-86.1539152,39.9315131,1499,1499
133,#StartupMoves Virtual Job Fair / Career Expo #Startup #Founder#Indianapolis,Career,Indianapolis ,5/27/2022,11:00,14:00,-86.158068,39.768403,0,0
134,Coffee with the Curator 2022,Historic,Indianapolis,5/27/2022,8:30,9:00,-86.1544065,39.7840906,0,6
135,#ConstructionHires Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,5/27/2022,11:00,14:00,-86.158068,39.768403,0,0
136,#TransitHires Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,6/3/2022,11:00,14:00,-86.158068,39.768403,0,0
137,#EnergyHires Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,6/1/2022,11:00,14:00,-86.158068,39.768403,0,0
138,#FlexibleHires Virtual Job Fair / Career Expo Event #Indianapolis,Career,Indianapolis,6/3/2022,11:00,14:00,-86.158068,39.768403,0,0
139,"Introduction To Software Test Automation 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1009742,39.9249343,645,895
140,"Writing a CV 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1007742,39.9249883,545,795
141,"Writing a CV 1 Day Training in Indianapolis, IN",Business & Professional,Indianapolis,6/3/2022,9:00,17:00,-86.1007742,39.9249883,545,795
